_id,tipo_equipamento,registro_inmetro,numero_serie_fabricante,identificacao_equipamento,local_instalacao,sentido_fiscalizacao,latitude,longitude,faixas_fiscalizadas,velocidade_fiscalizada,vmd,periodo_vmd
1,FIXO,Portaria 018/2018-243/2022,R13727,9111,"AV. GENERAL SAN MARTIN, N. 1864",DOIS SENTIDOS,-8.067404,-34.9278451,2,40 Km/h,22500,set/25
2,FIXO,Portaria 018/2018-243/2022,R14646,9438,"AV. DOM JOAO VI, PROXIMO AO SEMAFORO 669",SUBURBIO,-8.1157197,-34.9043244,2,50 Km/h,16100,set/25
3,FIXO,Portaria 018/2018-243/2022,R14647,9439,"AV. ENG. JOS ESTELITA, APàS PTE. AGAMENON MAGALHAES",DERBY,-8.0807628,-34.8912129,2,60 Km/h,40500,set/25
4,FIXO,Portaria 018/2018-243/2022,R14655,9440,"AV. ENG. JOS ESTELITA, APàS PTE. AGAMENON MAGALHAES",DERBY,-8.0807628,-34.8912129,2,60 Km/h,42600,set/25
5,FIXO,Portaria 018/2018-243/2022,R14643,9442,"AV. BOA VIAGEM, ENTRE O N. 2080 E 1906",-,-8.1078431,-34.8881609,3,60 Km/h,24400,set/25
6,FIXO,Portaria 018/2018-243/2022,R14644,9443,"AV. BOA VIAGEM, ENTRE O N. 6114 E 5890",-,-8.1408899,-34.9032189,3,60 Km/h,28900,set/25
7,FIXO,Portaria 018/2018-243/2022,R14645,9444,"AV. CELSO FURTADO KM 1,5",CENTRO,-8.098984,-34.8902551,3,60 Km/h,33100,set/25
8,FIXO,Portaria 018/2018-243/2022,R14649,9445,"AV. CELSO FURTADO KM 2,4",SUBURBIO,-8.1054086,-34.8919144,3,60 Km/h,40800,set/25
9,FIXO,Portaria 018/2018-243/2022,R14650,9446,"AV. CELSO FURTADO KM 2,5",CENTRO,-8.1058233,-34.8921292,3,60 Km/h,27600,set/25
10,FIXO,Portaria 018/2018-243/2022,R14651,9447,"AV. DOM JOAO VI, ENTRE OS N§ 777 E 835",CENTRO,-8.1163615,-34.904361900,3,50 Km/h,22900,set/25
11,FIXO,Portaria 018/2018-243/2022,R14653,9448,"PRACA GOV. PAULO GUERRA, PROX. AO SEMAFORO 662",SUBURBIO,-8.0800835,-34.8921567,3,60 Km/h,42500,set/25
12,FIXO,Portaria 018/2018-243/2022,R14654,9449,"CAIS SANTA RITA, PROX. AO N. 675",CENTRO,-8.0717339,-34.8779064,3,40 km/h e 60 Km/h,30000,set/25
13,FIXO,Portaria 018/2018-243/2022,R14652,9450,"AV. REPUBLICA DO LIBANO, N. 115 - PINA",SUBURBIO,-8.0415362,-34.8832782,3,60 Km/h,37900,set/25
14,FIXO,Portaria 018/2018-243/2022,R14656,9451,"AV. RUI BARBOSA, N. 1397",-,-8.0411938,-34.9033352,3,40 km/h e 60 Km/h,26300,set/25
15,FIXO,Portaria 018/2018-243/2022,R14695,9452,RUA ARQUITETO LUIZ NUNES ENTRE O N.315 E 379,SUBURBIO,-8.0874203,-34.9099345,3,40 Km/h,12700,set/25
16,FIXO,Portaria 018/2018-243/2022,R14696,9453,"AV. SATURNINO DE BRITO, ENTRE O N. 384 E 478",SUBURBIO,-8.0795892,-34.8927619,3,60 Km/h,36300,set/25
17,FIXO,Portaria 018/2018-243/2022,R14697,9454,"AV. BEBERIBE SANTA CRUZ FUTEBOL CLUBE, 3101",CENTRO,-8.0117133,-34.889407,2,50 Km/h,26300,set/25
18,FIXO,Portaria 018/2018-243/2022,R14698,9455,"AV. BEBERIBE SANTA CRUZ FUTEBOL CLUBE, 2960",SUBURBIO,-8.0129248,-34.8894324,2,50 Km/h,23300,set/25
19,FIXO,Portaria 018/2018-243/2022,R14699,9456,"RUA PARIS, ENTRE O N. 101 E 82",DOIS SENTIDOS,-8.1031397,-34.9131661,2,40 Km/h,15500,set/25
20,FIXO,Portaria 018/2018-243/2022,R14700,9457,"AV. AFONSO OLINDENSE, N. 996",DOIS SENTIDOS,-8.0392812,-34.957554,2,40 Km/h,15000,set/25
21,FIXO,Portaria 018/2018-243/2022,R14701,9458,"AV. MAURÖCIO DE NASSAU, ENTRONC. TRAVE. SANTA LUCIA",DOIS SENTIDOS,-8.0390250,-34.930116000,2,40 Km/h,18000,set/25
22,FIXO,Portaria 018/2018-243/2022,R14702,9459,"AV. ENG. ABDIAS DE CARVALHO, ENTRE OS N§ 1785 E 1745",CENTRO,-8.0624750,-34.917508000,3,60 Km/h,24000,set/25
23,FIXO,Portaria 018/2018-243/2022,R14703,9460,"RUA CâNEGO BARATA, 55",TORRE,-8.0328220,-34.903116000,3,50 Km/h,19400,set/25
