equipamento_historico,id_numerico,local_instalacao,sentido_fiscalizacao,latitude,longitude,faixas_fiscalizadas,velocidade_fiscalizada,vmd,localizado
CTTU-9111,9111,"AV. GENERAL SAN MARTIN, N. 1864",DOIS SENTIDOS,-8.067404,-34.9278451,2.0,40 Km/h,22500.0,True
CTTU-9438,9438,"AV. DOM JOAO VI, PROXIMO AO SEMAFORO 669",SUBURBIO,-8.1157197,-34.9043244,2.0,50 Km/h,16100.0,True
CTTU-9439,9439,"AV. ENG. JOSÂ ESTELITA, APÃ S PTE. AGAMENON MAGALHAES",DERBY,-8.0807628,-34.8912129,2.0,60 Km/h,40500.0,True
CTTU-9440,9440,"AV. ENG. JOSÂ ESTELITA, APÃ S PTE. AGAMENON MAGALHAES",DERBY,-8.0807628,-34.8912129,2.0,60 Km/h,42600.0,True
CTTU-9441,9441,,,,,,,,False
CTTU-9442,9442,"AV. BOA VIAGEM, ENTRE O N. 2080 E 1906",-,-8.1078431,-34.8881609,3.0,60 Km/h,24400.0,True
CTTU-9443,9443,"AV. BOA VIAGEM, ENTRE O N. 6114 E 5890",-,-8.1408899,-34.9032189,3.0,60 Km/h,28900.0,True
CTTU-9444,9444,"AV. CELSO FURTADO KM 1,5",CENTRO,-8.098984,-34.8902551,3.0,60 Km/h,33100.0,True
CTTU-9445,9445,"AV. CELSO FURTADO KM 2,4",SUBURBIO,-8.1054086,-34.8919144,3.0,60 Km/h,40800.0,True
CTTU-9446,9446,"AV. CELSO FURTADO KM 2,5",CENTRO,-8.1058233,-34.8921292,3.0,60 Km/h,27600.0,True
CTTU-9447,9447,"AV. DOM JOAO VI, ENTRE OS NÂ§ 777 E 835",CENTRO,-8.1163615,-34.9043619,3.0,50 Km/h,22900.0,True
CTTU-9448,9448,"PRACA GOV. PAULO GUERRA, PROX. AO SEMAFORO 662",SUBURBIO,-8.0800835,-34.8921567,3.0,60 Km/h,42500.0,True
CTTU-9449,9449,"CAIS SANTA RITA, PROX. AO N. 675",CENTRO,-8.0717339,-34.8779064,3.0,40 km/h e 60 Km/h,30000.0,True
CTTU-9450,9450,"AV. REPUBLICA DO LIBANO, N. 115 - PINA",SUBURBIO,-8.0415362,-34.8832782,3.0,60 Km/h,37900.0,True
CTTU-9451,9451,"AV. RUI BARBOSA, N. 1397",-,-8.0411938,-34.9033352,3.0,40 km/h e 60 Km/h,26300.0,True
