equipamento,faixa,observacoes,baixa_ate30,dias_com_dados,perc_ate30,dias_analisados,dias_baixa_velocidade,perc_dias_baixa,velocidade_media_estimada,equipamento_historico,id_numerico,local_instalacao,sentido_fiscalizacao,latitude,longitude,faixas_fiscalizadas,velocidade_fiscalizada,vmd,localizado,hora_pico,perc_ate30_no_pico,perc_dias_criticos_no_pico
CTTU-9460,C,1219293.0,1079207.0,235,88.51088294610074,235,235,100.0,19.285663905230326,CTTU-9460,9460,"RUA CÃ¢NEGO BARATA, 55",TORRE,-8.032822,-34.903116,3.0,50 Km/h,19400.0,True,15.0,93.2293485119629,100.0
CTTU-9111,B,1426959.0,1194639.0,222,83.71922388800239,222,222,100.0,25.33005176045826,CTTU-9111,9111,"AV. GENERAL SAN MARTIN, N. 1864",DOIS SENTIDOS,-8.067404,-34.9278451,2.0,40 Km/h,22500.0,True,19.0,93.2728042140296,100.0
CTTU-9472,D,1041097.0,857600.0,227,82.37464904807142,227,227,100.0,25.418837053607877,CTTU-9472,9472,"AV. MAL. MASCARENHAS DE MORAES, N. 2686",SUBÃ©RBIO,-8.1059586,-34.9114179,4.0,60 Km/h,33200.0,True,18.0,85.62814165397731,100.0
CTTU-9457,A,2263584.0,1852833.0,230,81.853953730014,230,230,100.0,24.44611289000099,CTTU-9457,9457,"AV. AFONSO OLINDENSE, N. 996",DOIS SENTIDOS,-8.0392812,-34.957554,2.0,40 Km/h,15000.0,True,17.0,91.74393885738064,100.0
CTTU-9460,A,1269095.0,1025926.0,235,80.83918067599353,235,231,98.29787234042553,22.332311607878054,CTTU-9460,9460,"RUA CÃ¢NEGO BARATA, 55",TORRE,-8.032822,-34.903116,3.0,50 Km/h,19400.0,True,5.0,88.21837667653334,97.70642201834863
CTTU-9458,B,2373147.0,1903810.0,236,80.22301189096166,236,236,100.0,24.96113599368265,CTTU-9458,9458,"AV. MAURÃCIO DE NASSAU, ENTRONC. TRAVE. SANTA LUCIA",DOIS SENTIDOS,-8.039025,-34.930116,2.0,40 Km/h,18000.0,True,18.0,90.7289524540682,100.0
CTTU-9457,B,1120491.0,876128.0,229,78.19143571880541,229,229,100.0,25.12620382707907,CTTU-9457,9457,"AV. AFONSO OLINDENSE, N. 996",DOIS SENTIDOS,-8.0392812,-34.957554,2.0,40 Km/h,15000.0,True,17.0,87.84322218482083,100.0
CTTU-9460,B,1415892.0,1093001.0,235,77.19522392950876,235,230,97.87234042553192,22.81057298902246,CTTU-9460,9460,"RUA CÃ¢NEGO BARATA, 55",TORRE,-8.032822,-34.903116,3.0,50 Km/h,19400.0,True,17.0,84.14351218834135,95.4954954954955
CTTU-9447,C,530317.0,393964.0,228,74.28839731707639,228,166,72.80701754385966,22.8040115628954,CTTU-9447,9447,"AV. DOM JOAO VI, ENTRE OS Nº 777 E 835",CENTRO,-8.1163615,-34.9043619,3.0,50 Km/h,22900.0,True,18.0,75.85346329894303,83.09859154929578
CTTU-9111,A,2318665.0,1709373.0,222,73.7222927848568,222,221,99.54954954954955,26.584633040679048,CTTU-9111,9111,"AV. GENERAL SAN MARTIN, N. 1864",DOIS SENTIDOS,-8.067404,-34.9278451,2.0,40 Km/h,22500.0,True,17.0,85.06708220318433,99.53271028037383
CTTU-9458,A,1594283.0,1142086.0,236,71.6363405995046,236,236,100.0,27.05521228037933,CTTU-9458,9458,"AV. MAURÃCIO DE NASSAU, ENTRONC. TRAVE. SANTA LUCIA",DOIS SENTIDOS,-8.039025,-34.930116,2.0,40 Km/h,18000.0,True,18.0,79.0273675627729,100.0
CTTU-9456,B,1548639.0,889717.0,236,57.45154293544202,236,221,93.64406779661016,28.995734305200582,CTTU-9456,9456,"RUA PARIS, ENTRE O N. 101 E 82",DOIS SENTIDOS,-8.1031397,-34.9131661,2.0,40 Km/h,15500.0,True,18.0,67.67835617066982,99.09909909909909
CTTU-9469,B,428132.0,243306.0,225,56.829669354311285,225,177,78.66666666666666,26.762727383143517,CTTU-9469,9469,"AV. BEBERIBE SANTA CRUZ FUTEBOL CLUBE, ENTRE O N. 4093 E 4035",CENTRO,-8.0051381,-34.8934414,2.0,50 Km/h,9659.0,True,4.0,83.53122827178676,95.92760180995475
